status,ticket_id,priority,channel,topic,agent_group,agent_name,created_time,first_response_time,resolution_time,survey_results,product_group,support_level,country,creation_hours,first_response_hours,response_hours,SLA_status
In progress,1495,Medium,Chat,Feature request,1st line support,Connor Danielovitch,2023-03-02 17:46:57,2023-03-02 17:48:48,,,Ready to use Software,Tier 1,France,17.78,17.81,0.03,Compliant
Resolved,1496,Medium,Phone,Feature request,1st line support,Kristos Westoll,2023-03-02 22:28:26,2023-03-02 22:30:35,2023-03-07 10:24:19,,Ready to use Software,Tier 1,Slovenia,22.47,22.51,0.04,Compliant
Resolved,1497,Medium,Chat,Purchasing and invoicing,1st line support,Kristos Westoll,2023-03-03 16:18:18,2023-03-03 16:19:41,2023-03-09 02:46:46,,Ready to use Software,Tier 1,Slovenia,16.31,16.33,0.02,Compliant
In progress,1498,Low,Email,Product setup,1st line support,Kristos Westoll,2023-03-03 13:32:16,2023-03-03 14:28:07,,,Training and Consulting Services,Tier 1,Poland,13.54,14.47,0.93,Compliant
Resolved,1499,Low,Chat,Product setup,1st line support,Kristos Westoll,2023-03-03 21:03:44,2023-03-03 21:03:46,2023-03-04 14:17:01,,Ready to use Software,Tier 1,Spain,21.06,21.06,0.00,Compliant
In progress,1500,Medium,Email,Pricing and licensing,1st line support,Nicola Wane,2023-03-03 06:08:20,2023-03-03 06:46:14,,,Custom software development,Tier 1,Greece,6.14,6.77,0.63,Compliant
Closed,1501,Low,Email,Purchasing and invoicing,1st line support,Connor Danielovitch,2023-03-04 07:14:23,2023-03-04 08:13:37,2023-03-05 06:47:22,3,Custom software development,Tier 1,United Kingdom,7.24,8.23,0.99,Compliant
Resolved,1502,Low,Chat,Other,1st line support,Connor Danielovitch,2023-03-04 18:27:23,2023-03-04 18:27:30,2023-03-05 06:00:45,,Ready to use Software,Tier 1,Greece,18.46,18.46,0.00,Compliant
In progress,1503,Low,Email,Other,1st line support,Nicola Wane,2023-03-04 10:20:16,2023-03-04 15:18:01,,,Custom software development,Tier 1,Austria,10.34,15.30,4.96,Breached
Resolved,1504,Low,Email,Purchasing and invoicing,1st line support,Nicola Wane,2023-03-04 17:46:47,2023-03-04 18:36:49,2023-03-05 18:51:13,,Other,Tier 1,Poland,17.78,18.61,0.83,Compliant
Closed,1512,High,Email,Pricing and licensing,1st line support,Nicola Wane,2023-03-05 15:14:42,2023-03-05 15:41:36,2023-03-06 10:13:39,4,Custom software development,Tier 1,Poland,15.25,15.69,0.45,Compliant
Closed,1513,Low,Chat,Training request,2nd line support,Adolpho Messingham,2023-03-05 03:42:25,2023-03-05 03:43:46,2023-03-05 04:06:04,4,Training and Consulting Services,Tier 2,Greece,3.71,3.73,0.02,Compliant
Closed,1514,Low,Email,Feature request,1st line support,Nicola Wane,2023-03-05 07:03:21,2023-03-05 08:00:55,2023-03-07 04:09:54,3,Ready to use Software,Tier 1,Austria,7.06,8.02,0.96,Compliant
Resolved,1515,Low,Email,Feature request,1st line support,Nicola Wane,2023-03-05 04:57:01,2023-03-05 05:36:34,2023-03-06 23:59:58,,Custom software development,Tier 1,Czech Republic,4.95,5.61,0.66,Compliant
Resolved,1516,Low,Email,Other,1st line support,Kristos Westoll,2023-03-05 07:34:22,2023-03-05 07:45:47,2023-03-06 16:20:27,,Custom software development,Tier 1,Germany,7.57,7.76,0.19,Compliant
Closed,1517,Low,Chat,Pricing and licensing,1st line support,Sheela Cutten,2023-03-06 10:44:14,2023-03-06 10:46:00,2023-03-09 07:26:40,4,Ready to use Software,Tier 1,Greece,10.74,10.77,0.03,Compliant
Closed,1518,Low,Chat,Feature request,1st line support,Connor Danielovitch,2023-03-06 10:48:32,2023-03-06 10:49:22,2023-03-06 11:41:58,4,Ready to use Software,Tier 1,Italy,10.81,10.82,0.01,Compliant
Closed,1519,Low,Phone,Pricing and licensing,2nd line support,Heather Urry,2023-03-06 07:01:46,2023-03-06 07:03:34,2023-03-06 12:51:27,4,Custom software development,Tier 2,United Kingdom,7.03,7.06,0.03,Compliant
In progress,1520,Low,Chat,Pricing and licensing,1st line support,Bernard Beckley,2023-03-06 21:19:53,2023-03-06 21:21:26,,,Custom software development,Tier 1,Bulgaria,21.33,21.36,0.03,Compliant
In progress,1521,Low,Chat,Pricing and licensing,2nd line support,Heather Urry,2023-03-06 10:20:35,2023-03-06 10:23:37,,,Ready to use Software,Tier 2,Italy,10.34,10.39,0.05,Compliant
Closed,1522,Medium,Email,Purchasing and invoicing,1st line support,Bernard Beckley,2023-03-06 06:16:39,2023-03-06 10:22:09,2023-03-07 21:24:53,4,Other,Tier 1,Czech Republic,6.28,10.37,4.09,Breached
Closed,1523,High,Chat,Pricing and licensing,1st line support,Sheela Cutten,2023-03-06 12:24:32,2023-03-06 12:24:54,2023-03-06 23:54:51,3,Other,Tier 1,Republic of Ireland,12.41,12.42,0.01,Compliant
Closed,1524,Medium,Chat,Feature request,1st line support,Bernard Beckley,2023-03-06 07:24:21,2023-03-06 07:25:33,2023-03-06 13:09:32,4,Custom software development,Tier 1,France,7.41,7.43,0.02,Compliant
Resolved,1525,High,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-03-06 15:56:32,2023-03-06 16:19:03,2023-03-07 08:25:55,,Ready to use Software,Tier 1,Slovenia,15.94,16.32,0.38,Compliant
In progress,1526,Medium,Email,Bug report,1st line support,Nicola Wane,2023-03-06 07:21:44,2023-03-06 07:57:56,,,Ready to use Software,Tier 1,Italy,7.36,7.97,0.60,Compliant
In progress,1527,High,Email,Product setup,2nd line support,Adolpho Messingham,2023-03-06 18:06:51,2023-03-06 18:27:13,,,Training and Consulting Services,Tier 2,United Kingdom,18.11,18.45,0.34,Compliant
Resolved,1528,Low,Phone,Pricing and licensing,1st line support,Connor Danielovitch,2023-03-06 04:37:11,2023-03-06 04:37:27,2023-03-07 18:57:16,,Ready to use Software,Tier 1,United Kingdom,4.62,4.62,0.00,Compliant
Closed,1529,Medium,Chat,Feature request,2nd line support,Adolpho Messingham,2023-03-06 04:25:30,2023-03-06 04:26:31,2023-03-06 08:39:09,5,Ready to use Software,Tier 2,Germany,4.43,4.44,0.02,Compliant
Resolved,1530,Low,Chat,Pricing and licensing,1st line support,Nicola Wane,2023-03-07 13:30:45,2023-03-07 13:31:30,2023-03-11 01:36:14,,Ready to use Software,Tier 1,Czech Republic,13.51,13.53,0.01,Compliant
Closed,1531,Low,Phone,Product setup,1st line support,Connor Danielovitch,2023-03-07 21:19:19,2023-03-07 21:24:45,2023-03-09 18:59:49,5,Ready to use Software,Tier 1,Germany,21.32,21.41,0.09,Compliant
Resolved,1532,Low,Email,Feature request,1st line support,Kristos Westoll,2023-03-07 05:15:02,2023-03-07 06:03:00,2023-03-08 19:41:51,,Other,Tier 1,United Kingdom,5.25,6.05,0.80,Compliant
Resolved,1533,High,Email,Purchasing and invoicing,1st line support,Sheela Cutten,2023-03-07 23:13:52,2023-03-07 23:20:56,2023-03-09 07:21:44,,Training and Consulting Services,Tier 1,United Kingdom,23.23,23.35,0.12,Compliant
Closed,1534,High,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-03-07 20:40:50,2023-03-07 21:03:31,2023-03-08 18:36:36,4,Custom software development,Tier 1,Austria,20.68,21.06,0.38,Compliant
Resolved,1535,Medium,Email,Feature request,2nd line support,Michele Whyatt,2023-03-07 19:26:05,2023-03-07 19:29:50,2023-03-09 16:27:17,,Other,Tier 2,United Kingdom,19.43,19.50,0.06,Compliant
Resolved,1536,Medium,Email,Product setup,1st line support,Nicola Wane,2023-03-07 02:09:56,2023-03-07 02:27:03,2023-03-08 13:46:05,,Custom software development,Tier 1,Slovenia,2.17,2.45,0.29,Compliant
Closed,1537,Low,Chat,Product setup,1st line support,Bernard Beckley,2023-03-08 01:02:26,2023-03-08 01:03:38,2023-03-08 12:54:44,4,Custom software development,Tier 1,Slovenia,1.04,1.06,0.02,Compliant
Closed,1538,High,Email,Product setup,1st line support,Nicola Wane,2023-03-08 10:00:28,2023-03-08 10:02:01,2023-03-09 18:21:32,5,Training and Consulting Services,Tier 1,Italy,10.01,10.03,0.03,Compliant
Resolved,1539,Low,Email,Bug report,2nd line support,Heather Urry,2023-03-08 19:03:39,2023-03-08 19:17:36,2023-03-08 23:27:57,,Ready to use Software,Tier 2,Germany,19.06,19.29,0.23,Compliant
Closed,1540,Low,Email,Bug report,2nd line support,Heather Urry,2023-03-08 02:37:45,2023-03-08 02:43:28,2023-03-09 09:09:21,3,Training and Consulting Services,Tier 2,Germany,2.63,2.72,0.10,Compliant
Resolved,1541,Medium,Chat,Product setup,1st line support,Kristos Westoll,2023-03-08 19:55:45,2023-03-08 19:56:12,2023-03-08 22:25:39,,Ready to use Software,Tier 1,United Kingdom,19.93,19.94,0.01,Compliant
Closed,1542,Low,Chat,Product setup,1st line support,Connor Danielovitch,2023-03-08 06:49:26,2023-03-08 06:52:21,2023-03-11 03:05:34,4,Ready to use Software,Tier 1,United Kingdom,6.82,6.87,0.05,Compliant
Closed,1543,Medium,Chat,Pricing and licensing,1st line support,Bernard Beckley,2023-03-08 18:53:10,2023-03-08 18:54:54,2023-03-10 15:18:30,4,Training and Consulting Services,Tier 1,Poland,18.89,18.92,0.03,Compliant
Closed,1544,Low,Chat,Product setup,1st line support,Connor Danielovitch,2023-03-08 21:01:00,2023-03-08 21:02:08,2023-03-09 11:28:21,4,Custom software development,Tier 1,France,21.02,21.04,0.02,Compliant
In progress,1545,Low,Chat,Feature request,1st line support,Bernard Beckley,2023-03-08 19:24:41,2023-03-08 19:30:31,,,Custom software development,Tier 1,Bulgaria,19.41,19.51,0.10,Compliant
In progress,1546,Medium,Chat,Other,2nd line support,Heather Urry,2023-03-08 01:14:25,2023-03-08 01:16:09,,,Custom software development,Tier 2,Italy,1.24,1.27,0.03,Compliant
Resolved,1547,Low,Email,Other,2nd line support,Adolpho Messingham,2023-03-08 16:10:52,2023-03-08 17:01:41,2023-03-10 06:07:39,,Ready to use Software,Tier 2,Austria,16.18,17.03,0.85,Compliant
Closed,1548,Medium,Email,Other,1st line support,Nicola Wane,2023-03-08 07:47:06,2023-03-08 15:27:01,2023-03-09 17:09:31,2,Training and Consulting Services,Tier 1,Italy,7.79,15.45,7.67,Breached
In progress,1549,Low,Chat,Purchasing and invoicing,1st line support,Sheela Cutten,2023-03-08 19:22:33,2023-03-08 19:22:43,,,Training and Consulting Services,Tier 1,Republic of Ireland,19.38,19.38,0.00,Compliant
Resolved,1550,Low,Chat,Feature request,1st line support,Bernard Beckley,2023-03-09 07:31:05,2023-03-09 07:31:47,2023-03-09 18:22:38,,Ready to use Software,Tier 1,Poland,7.52,7.53,0.01,Compliant
Closed,1551,High,Email,Pricing and licensing,1st line support,Kristos Westoll,2023-03-09 18:37:17,2023-03-09 18:50:07,2023-03-10 18:31:50,4,Other,Tier 1,Bulgaria,18.62,18.84,0.21,Compliant
Closed,1552,Low,Email,Pricing and licensing,1st line support,Nicola Wane,2023-03-09 05:24:36,2023-03-09 06:07:17,2023-03-10 19:09:52,1,Custom software development,Tier 1,Austria,5.41,6.12,0.71,Compliant
In progress,1553,Medium,Email,Feature request,1st line support,Connor Danielovitch,2023-03-09 22:52:40,2023-03-09 22:53:39,,,Ready to use Software,Tier 1,Italy,22.88,22.89,0.02,Compliant
Closed,1556,High,Email,Product setup,1st line support,Bernard Beckley,2023-03-09 20:08:56,2023-03-09 20:26:57,2023-03-10 17:53:37,3,Other,Tier 1,United Kingdom,20.15,20.45,0.30,Compliant
Resolved,1557,Medium,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-03-09 01:51:28,2023-03-09 02:21:02,2023-03-11 00:55:06,,Training and Consulting Services,Tier 1,Republic of Ireland,1.86,2.35,0.49,Compliant
Closed,1560,High,Email,Feature request,2nd line support,Michele Whyatt,2023-03-10 04:09:11,2023-03-10 04:34:11,2023-03-11 15:42:37,3,Ready to use Software,Tier 2,Austria,4.15,4.57,0.42,Compliant
Closed,1561,Low,Chat,Feature request,2nd line support,Adolpho Messingham,2023-03-10 17:41:12,2023-03-10 17:42:59,2023-03-11 03:12:54,3,Other,Tier 2,United Kingdom,17.69,17.72,0.03,Compliant
In progress,1562,Low,Email,Feature request,2nd line support,Adolpho Messingham,2023-03-10 00:32:45,2023-03-10 01:13:09,,,Other,Tier 2,United Kingdom,0.55,1.22,0.67,Compliant
Resolved,1563,Low,Chat,Feature request,1st line support,Sheela Cutten,2023-03-10 00:43:40,2023-03-10 00:45:18,2023-03-10 14:07:43,,Custom software development,Tier 1,Bulgaria,0.73,0.76,0.03,Compliant
Closed,1565,Medium,Email,Pricing and licensing,1st line support,Bernard Beckley,2023-03-10 06:44:13,2023-03-10 07:40:30,2023-03-10 22:31:11,3,Custom software development,Tier 1,United Kingdom,6.74,7.68,0.94,Compliant
In progress,1567,Medium,Email,Other,1st line support,Connor Danielovitch,2023-03-11 22:08:57,2023-03-11 22:37:10,,,Ready to use Software,Tier 1,Austria,22.15,22.62,0.47,Compliant
Resolved,1568,Medium,Email,Product setup,1st line support,Sheela Cutten,2023-03-11 04:34:35,2023-03-11 05:02:24,2023-03-12 00:49:07,,Ready to use Software,Tier 1,Czech Republic,4.58,5.04,0.46,Compliant
Resolved,1573,Low,Email,Product setup,2nd line support,Heather Urry,2023-03-11 01:06:38,2023-03-11 01:50:22,2023-03-12 00:53:42,,Ready to use Software,Tier 2,United Kingdom,1.11,1.84,0.73,Compliant
Resolved,1574,Medium,Chat,Other,1st line support,Nicola Wane,2023-03-11 15:34:51,2023-03-11 15:35:14,2023-03-12 09:31:07,,Ready to use Software,Tier 1,United Kingdom,15.58,15.59,0.01,Compliant
Resolved,1575,High,Email,Feature request,1st line support,Sheela Cutten,2023-03-12 03:04:01,2023-03-12 03:31:01,2023-03-15 23:42:25,,Custom software development,Tier 1,Italy,3.07,3.52,0.45,Compliant
Resolved,1576,Low,Email,Purchasing and invoicing,2nd line support,Michele Whyatt,2023-03-12 01:00:06,2023-03-12 01:46:15,2023-03-12 05:29:28,,Ready to use Software,Tier 2,Austria,1.00,1.77,0.77,Compliant
Closed,1577,Medium,Email,Bug report,1st line support,Connor Danielovitch,2023-03-12 19:12:49,2023-03-12 19:48:43,2023-03-13 03:38:18,3,Ready to use Software,Tier 1,United Kingdom,19.21,19.81,0.60,Compliant
Closed,1581,Low,Email,Bug report,2nd line support,Michele Whyatt,2023-03-13 15:58:26,2023-03-13 16:19:07,2023-03-14 23:11:28,4,Ready to use Software,Tier 2,Bulgaria,15.97,16.32,0.34,Compliant
Resolved,1582,Low,Phone,Purchasing and invoicing,1st line support,Nicola Wane,2023-03-13 11:05:16,2023-03-13 11:05:29,2023-03-15 09:34:07,,Ready to use Software,Tier 1,Poland,11.09,11.09,0.00,Compliant
Closed,1583,Medium,Chat,Training request,1st line support,Kristos Westoll,2023-03-13 05:33:38,2023-03-13 05:35:00,2023-03-14 00:01:28,5,Training and Consulting Services,Tier 1,Poland,5.56,5.58,0.02,Compliant
In progress,1584,Low,Chat,Feature request,1st line support,Connor Danielovitch,2023-03-13 13:19:39,2023-03-13 13:20:29,,,Other,Tier 1,United Kingdom,13.33,13.34,0.01,Compliant
Closed,1585,Low,Email,Product setup,2nd line support,Michele Whyatt,2023-03-13 21:36:55,2023-03-13 22:31:55,2023-03-14 19:08:44,2,Training and Consulting Services,Tier 2,Slovenia,21.62,22.53,0.92,Compliant
Open,1586,Medium,Email,Product setup,1st line support,Nicola Wane,2023-03-13 17:00:43,,,,Ready to use Software,Tier 1,Greece,17.01,,,Breached
Closed,1587,Medium,Email,Pricing and licensing,1st line support,Connor Danielovitch,2023-03-13 08:21:06,2023-03-13 09:04:46,2023-03-13 12:09:45,3,Other,Tier 1,United Kingdom,8.35,9.08,0.73,Compliant
Resolved,1588,Low,Chat,Purchasing and invoicing,2nd line support,Heather Urry,2023-03-13 15:59:29,2023-03-13 16:00:42,2023-03-15 07:19:23,,Ready to use Software,Tier 2,Greece,15.99,16.01,0.02,Compliant
Closed,1589,Low,Chat,Feature request,1st line support,Sheela Cutten,2023-03-13 20:46:16,2023-03-13 20:47:37,2023-03-14 16:57:26,2,Other,Tier 1,Greece,20.77,20.79,0.02,Compliant
In progress,1590,Low,Email,Purchasing and invoicing,1st line support,Nicola Wane,2023-03-13 10:15:38,2023-03-13 10:41:31,,,Training and Consulting Services,Tier 1,Czech Republic,10.26,10.69,0.43,Compliant
Closed,1591,Low,Chat,Feature request,1st line support,Sheela Cutten,2023-03-13 11:05:15,2023-03-13 11:06:20,2023-03-13 18:27:02,3,Other,Tier 1,Italy,11.09,11.11,0.02,Compliant
In progress,1592,Low,Email,Other,1st line support,Sheela Cutten,2023-03-13 07:20:49,2023-03-13 08:03:16,,,Ready to use Software,Tier 1,Slovenia,7.35,8.05,0.71,Compliant
Resolved,1593,Medium,Email,Product setup,2nd line support,Michele Whyatt,2023-03-14 09:39:52,2023-03-14 10:12:46,2023-03-16 06:06:00,,Ready to use Software,Tier 2,Italy,9.66,10.21,0.55,Compliant
Closed,1594,High,Email,Product setup,1st line support,Kristos Westoll,2023-03-14 10:08:38,2023-03-14 10:18:40,2023-03-14 14:26:39,5,Custom software development,Tier 1,United Kingdom,10.14,10.31,0.17,Compliant
Resolved,1595,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-03-14 18:42:04,2023-03-14 19:30:39,2023-03-16 16:46:56,,Other,Tier 1,Spain,18.70,19.51,0.81,Compliant
Closed,1596,Low,Chat,Product setup,1st line support,Bernard Beckley,2023-03-14 03:18:49,2023-03-14 03:22:14,2023-03-14 04:59:40,3,Custom software development,Tier 1,Slovenia,3.31,3.37,0.06,Compliant
Closed,1597,Low,Email,Pricing and licensing,1st line support,Connor Danielovitch,2023-03-14 19:42:01,2023-03-14 20:04:44,2023-03-16 01:11:49,5,Training and Consulting Services,Tier 1,Italy,19.70,20.08,0.38,Compliant
Closed,1598,Medium,Email,Product setup,1st line support,Kristos Westoll,2023-03-14 12:18:12,2023-03-14 13:01:04,2023-03-16 02:47:03,3,Other,Tier 1,Italy,12.30,13.02,0.71,Compliant
Closed,1599,Medium,Phone,Product setup,1st line support,Kristos Westoll,2023-03-14 10:19:11,2023-03-14 10:21:17,2023-03-16 07:07:00,1,Custom software development,Tier 1,Bulgaria,10.32,10.35,0.04,Compliant
Closed,1600,Medium,Email,Other,1st line support,Sheela Cutten,2023-03-14 11:12:15,2023-03-14 11:37:40,2023-03-15 02:27:17,4,Training and Consulting Services,Tier 1,United Kingdom,11.20,11.63,0.42,Compliant
Closed,1601,Low,Email,Product setup,1st line support,Sheela Cutten,2023-03-15 00:21:06,2023-03-15 00:31:01,2023-03-16 10:55:59,3,Other,Tier 1,Austria,0.35,0.52,0.17,Compliant
Resolved,1602,High,Email,Feature request,2nd line support,Michele Whyatt,2023-03-15 00:44:09,2023-03-15 01:35:42,2023-03-16 12:29:40,,Ready to use Software,Tier 2,Germany,0.74,1.60,0.86,Compliant
Resolved,1603,Medium,Email,Feature request,1st line support,Sheela Cutten,2023-03-15 12:59:00,2023-03-15 13:35:22,2023-03-20 04:08:16,,Ready to use Software,Tier 1,Poland,12.98,13.59,0.61,Compliant
In progress,1604,High,Email,Product setup,1st line support,Sheela Cutten,2023-03-15 03:33:55,2023-03-15 03:48:41,,,Custom software development,Tier 1,Poland,3.57,3.81,0.25,Compliant
Closed,1605,High,Phone,Product setup,1st line support,Bernard Beckley,2023-03-15 10:58:56,2023-03-15 11:04:40,2023-03-16 02:19:17,3,Custom software development,Tier 1,Poland,10.98,11.08,0.10,Compliant
Resolved,1606,High,Chat,Bug report,1st line support,Bernard Beckley,2023-03-15 12:11:12,2023-03-15 12:12:32,2023-03-16 03:56:25,,Custom software development,Tier 1,Italy,12.19,12.21,0.02,Compliant
Closed,1607,Low,Email,Pricing and licensing,1st line support,Bernard Beckley,2023-03-15 16:08:07,2023-03-15 16:37:58,2023-03-17 09:02:37,2,Custom software development,Tier 1,Germany,16.14,16.63,0.50,Compliant
Closed,1608,High,Email,Product setup,1st line support,Nicola Wane,2023-03-16 17:09:22,2023-03-16 17:58:35,2023-03-18 00:10:53,1,Ready to use Software,Tier 1,Austria,17.16,17.98,0.82,Compliant
Resolved,1609,Medium,Chat,Pricing and licensing,1st line support,Sheela Cutten,2023-03-16 20:58:03,2023-03-16 20:58:17,2023-03-17 06:49:58,,Training and Consulting Services,Tier 1,Slovenia,20.97,20.97,0.00,Compliant
Closed,1610,Low,Chat,Pricing and licensing,1st line support,Kristos Westoll,2023-03-16 04:46:12,2023-03-16 04:46:28,2023-03-16 12:23:47,3,Ready to use Software,Tier 1,France,4.77,4.77,0.00,Compliant
Closed,1611,High,Email,Purchasing and invoicing,1st line support,Kristos Westoll,2023-03-16 18:51:53,2023-03-16 19:21:34,2023-03-17 05:58:32,3,Custom software development,Tier 1,Italy,18.86,19.36,0.49,Compliant
Resolved,1612,High,Chat,Bug report,1st line support,Connor Danielovitch,2023-03-16 02:30:07,2023-03-16 02:31:43,2023-03-16 09:24:10,,Custom software development,Tier 1,United Kingdom,2.50,2.53,0.03,Compliant
Closed,1613,Medium,Chat,Product setup,1st line support,Connor Danielovitch,2023-03-16 15:56:22,2023-03-16 15:56:36,2023-03-17 03:32:43,4,Ready to use Software,Tier 1,Bulgaria,15.94,15.94,0.00,Compliant
Resolved,1614,High,Email,Bug report,1st line support,Sheela Cutten,2023-03-16 18:30:18,2023-03-16 21:29:31,2023-03-17 12:24:44,,Custom software development,Tier 1,France,18.51,21.49,2.99,Compliant
Closed,1615,Medium,Email,Training request,1st line support,Connor Danielovitch,2023-03-16 13:15:46,2023-03-16 13:16:49,2023-03-17 20:06:44,5,Training and Consulting Services,Tier 1,Italy,13.26,13.28,0.02,Compliant
Resolved,1616,Low,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-03-16 06:25:19,2023-03-16 06:26:39,2023-03-16 09:04:17,,Ready to use Software,Tier 1,Austria,6.42,6.44,0.02,Compliant
Resolved,1617,Medium,Email,Product setup,1st line support,Sheela Cutten,2023-03-16 12:36:44,2023-03-16 12:49:57,2023-03-16 23:25:33,,Ready to use Software,Tier 1,Republic of Ireland,12.61,12.83,0.22,Compliant
Closed,1618,Medium,Email,Product setup,1st line support,Bernard Beckley,2023-03-17 02:32:50,2023-03-17 03:00:07,2023-03-22 03:02:30,5,Ready to use Software,Tier 1,Italy,2.55,3.00,0.45,Compliant
Resolved,1619,Low,Email,Product setup,1st line support,Kristos Westoll,2023-03-17 10:58:28,2023-03-17 11:04:56,2023-03-23 00:12:07,,Other,Tier 1,Austria,10.97,11.08,0.11,Compliant
Resolved,1626,High,Email,Feature request,1st line support,Nicola Wane,2023-03-18 00:21:14,2023-03-18 00:33:52,2023-03-18 14:39:42,,Ready to use Software,Tier 1,Germany,0.35,0.56,0.21,Compliant
Closed,1627,Low,Email,Product setup,1st line support,Sheela Cutten,2023-03-18 06:34:51,2023-03-18 07:05:21,2023-03-20 05:12:28,4,Training and Consulting Services,Tier 1,Bulgaria,6.58,7.09,0.51,Compliant
Resolved,1628,High,Email,Bug report,1st line support,Sheela Cutten,2023-03-18 08:08:35,2023-03-18 09:00:07,2023-03-20 04:11:32,,Ready to use Software,Tier 1,Czech Republic,8.14,9.00,0.86,Compliant
Closed,1629,Low,Chat,Feature request,1st line support,Bernard Beckley,2023-03-18 23:00:11,2023-03-18 23:01:34,2023-03-19 08:24:56,4,Custom software development,Tier 1,Slovenia,23.00,23.03,0.02,Compliant
Resolved,1630,Low,Phone,Feature request,1st line support,Sheela Cutten,2023-03-18 08:59:42,2023-03-18 09:01:40,2023-03-18 15:41:59,,Ready to use Software,Tier 1,Slovenia,9.00,9.03,0.03,Compliant
In progress,1631,Low,Phone,Product setup,1st line support,Connor Danielovitch,2023-03-19 18:00:21,2023-03-19 18:04:13,,,Ready to use Software,Tier 1,Poland,18.01,18.07,0.06,Compliant
Resolved,1632,Low,Email,Feature request,1st line support,Sheela Cutten,2023-03-19 21:00:31,2023-03-20 01:55:48,2023-03-21 13:11:42,,Custom software development,Tier 1,Germany,21.01,1.93,19.08,Breached
Closed,1633,High,Email,Purchasing and invoicing,1st line support,Kristos Westoll,2023-03-19 14:00:56,2023-03-19 14:44:57,2023-03-20 12:31:49,5,Training and Consulting Services,Tier 1,United Kingdom,14.02,14.75,0.73,Compliant
Closed,1634,Medium,Chat,Other,1st line support,Sheela Cutten,2023-03-19 22:55:52,2023-03-19 23:00:30,2023-03-21 06:46:47,4,Ready to use Software,Tier 1,Bulgaria,22.93,23.01,0.08,Compliant
Closed,1635,Medium,Email,Pricing and licensing,1st line support,Sheela Cutten,2023-03-19 22:09:59,2023-03-19 22:28:37,2023-03-20 11:03:43,5,Ready to use Software,Tier 1,Greece,22.17,22.48,0.31,Compliant
Closed,1636,Low,Chat,Product setup,1st line support,Connor Danielovitch,2023-03-19 22:50:17,2023-03-19 22:50:35,2023-03-20 17:39:07,3,Custom software development,Tier 1,Greece,22.84,22.84,0.00,Compliant
In progress,1637,Low,Phone,Product setup,1st line support,Connor Danielovitch,2023-03-19 12:53:48,2023-03-19 12:59:45,,,Custom software development,Tier 1,Italy,12.90,13.00,0.10,Compliant
Closed,1638,Medium,Email,Feature request,1st line support,Nicola Wane,2023-03-20 13:23:05,2023-03-20 14:05:28,2023-03-22 08:53:29,3,Ready to use Software,Tier 1,Poland,13.38,14.09,0.71,Compliant
In progress,1639,Low,Email,Feature request,2nd line support,Adolpho Messingham,2023-03-20 19:10:24,2023-03-20 19:28:28,,,Other,Tier 2,Germany,19.17,19.47,0.30,Compliant
Resolved,1640,High,Phone,Product setup,1st line support,Connor Danielovitch,2023-03-20 07:20:34,2023-03-20 07:21:27,2023-03-20 17:57:46,,Custom software development,Tier 1,Slovenia,7.34,7.36,0.01,Compliant
Resolved,1641,Medium,Email,Product setup,1st line support,Kristos Westoll,2023-03-20 22:27:49,2023-03-20 22:37:30,2023-03-21 12:54:25,,Other,Tier 1,Slovenia,22.46,22.63,0.16,Compliant
Closed,1642,Low,Phone,Product setup,2nd line support,Adolpho Messingham,2023-03-20 16:27:35,2023-03-20 16:28:38,2023-03-22 03:58:27,2,Training and Consulting Services,Tier 2,United Kingdom,16.46,16.48,0.02,Compliant
Closed,1643,Low,Chat,Product setup,1st line support,Bernard Beckley,2023-03-20 21:49:15,2023-03-20 21:49:18,2023-03-21 18:09:34,3,Custom software development,Tier 1,Spain,21.82,21.82,0.00,Compliant
Closed,1644,Low,Email,Feature request,1st line support,Sheela Cutten,2023-03-20 01:25:09,2023-03-20 02:23:02,2023-03-21 21:04:23,3,Other,Tier 1,Spain,1.42,2.38,0.96,Compliant
Closed,1645,Medium,Email,Bug report,1st line support,Connor Danielovitch,2023-03-20 18:36:23,2023-03-20 19:32:39,2023-03-20 19:28:53,4,Ready to use Software,Tier 1,United Kingdom,18.61,19.54,0.94,Compliant
Closed,1646,Low,Email,Purchasing and invoicing,1st line support,Sheela Cutten,2023-03-21 19:11:31,2023-03-21 20:10:45,2023-03-23 13:08:32,3,Custom software development,Tier 1,France,19.19,20.18,0.99,Compliant
Closed,1647,Low,Chat,Feature request,2nd line support,Michele Whyatt,2023-03-21 00:03:07,2023-03-21 00:03:38,2023-03-21 14:27:49,3,Ready to use Software,Tier 2,Poland,0.05,0.06,0.01,Compliant
Closed,1648,High,Phone,Product setup,2nd line support,Heather Urry,2023-03-21 08:43:34,2023-03-21 08:43:52,2023-03-26 13:07:36,4,Ready to use Software,Tier 2,Germany,8.73,8.73,0.01,Compliant
Resolved,1649,Low,Chat,Training request,1st line support,Kristos Westoll,2023-03-21 10:42:02,2023-03-21 10:44:08,2023-03-22 10:23:14,,Training and Consulting Services,Tier 1,Italy,10.70,10.74,0.04,Compliant
